date,bag,sample,type,hardening,temperature,0,1,2,3,4
20240807,47,37,sample,temperature,42C,25873,34811,46436,51459,66553
20240807,47,38,sample,temperature,42C,26313,91064,123560,142650,139464
20240807,47,39,sample,temperature,42C,26040,35058,44859,50629,58240
20240807,47,40,sample,temperature,42C,25283,71246,90208,106916,121457
20240808,56,B1,blank,fresh-water,18C,24706,25508,25147,25468,25860
20240808,56,1,sample,fresh-water,18C,25342,34752,68174,104258,152966
20240808,56,2,sample,fresh-water,18C,26062,39667,57809,90638,112265
20240808,56,3,sample,fresh-water,18C,26604,43207,62508,85093,107698
20240808,56,4,sample,fresh-water,18C,25665,30455,35452,43411,47715
20240808,56,5,sample,fresh-water,18C,26158,49986,93406,156813,231054
20240808,56,21,sample,fresh-water,42C,26135,34865,39426,42017,51319
20240808,56,22,sample,fresh-water,42C,26411,93144,119632,147850,167867
20240808,56,23,sample,fresh-water,42C,25473,38715,46583,51511,55021
20240808,56,24,sample,fresh-water,42C,26240,38118,46649,49943,51203
20240808,56,25,sample,fresh-water,42C,25535,38955,45317,48972,51870
20240808,56,B4,blank,fresh-water,42C,25502,27166,27518,27964,27598
20240808,56,B2,blank,fresh-water,18C,25684,26473,26460,26711,26882
20240808,56,6,sample,fresh-water,18C,26448,51948,101145,161452,224227
20240808,56,7,sample,fresh-water,18C,25011,45284,79063,108387,162403
20240808,56,8,sample,fresh-water,18C,26224,57224,98018,148411,201643
20240808,56,9,sample,fresh-water,18C,26436,42292,74014,122266,185189
20240808,56,10,sample,fresh-water,18C,26390,39456,63025,87269,115649
20240808,56,26,sample,fresh-water,42C,25461,36831,42692,44904,50914
20240808,56,27,sample,fresh-water,42C,26511,38562,45601,49943,51734
20240808,56,28,sample,fresh-water,42C,26501,64593,82409,97907,110322
20240808,56,29,sample,fresh-water,42C,26641,42129,52626,58408,64813
20240808,56,30,sample,fresh-water,42C,26708,41420,49437,53880,56475
20240808,56,B5,blank,fresh-water,42C,24960,26138,26690,26516,26490
20240808,56,B3,blank,fresh-water,18C,26182,26752,26417,26602,27187
20240808,56,11,sample,fresh-water,18C,26578,31672,37948,46019,56422
20240808,56,12,sample,fresh-water,18C,26126,33099,38588,43513,51645
20240808,56,13,sample,fresh-water,18C,26512,35346,41935,56488,63610
20240808,56,14,sample,fresh-water,18C,27068,40429,70754,86360,135474
20240808,56,15,sample,fresh-water,18C,26831,59080,100700,159491,227465
20240808,56,31,sample,fresh-water,42C,26949,39491,46547,49653,52471
20240808,56,32,sample,fresh-water,42C,26910,46438,57849,64903,72081
20240808,56,33,sample,fresh-water,42C,26614,64957,83802,97757,111037
20240808,56,34,sample,fresh-water,42C,26303,82665,104167,121346,141472
20240808,56,35,sample,fresh-water,42C,26185,73171,88469,104394,121316
20240808,56,B6,blank,fresh-water,42C,26102,27753,27651,27507,27851
20240808,56,16,sample,fresh-water,18C,26845,30792,37287,41449,49791
20240808,56,17,sample,fresh-water,18C,26576,39611,54378,95572,131155
20240808,56,18,sample,fresh-water,18C,27004,62197,111085,178490,247391
20240808,56,19,sample,fresh-water,18C,26287,45884,86749,144372,216049
20240808,56,20,sample,fresh-water,18C,26692,32328,34038,44391,55189
20240808,56,36,sample,fresh-water,42C,26941,53069,69876,84784,97963
20240808,56,37,sample,fresh-water,42C,26196,64580,70886,80808,88326
20240808,56,38,sample,fresh-water,42C,27447,77992,94150,108822,126677
20240808,56,39,sample,fresh-water,42C,26796,48410,64239,68180,122327
20240808,56,40,sample,fresh-water,42C,26166,39832,46952,64052,72013
20240812,36,B1,blank,control,18C,27746,27752,28800,31484,28437
20240812,36,1,sample,control,18C,27725,57429,129037,205618,257006
20240812,36,2,sample,control,18C,29605,34418,39145,41243,47212
20240812,36,3,sample,control,18C,29474,59314,108855,174336,233404
20240812,36,4,sample,control,18C,28775,53788,64962,98042,124716
20240812,36,5,sample,control,18C,29597,37302,66466,105519,143149
20240812,36,21,sample,control,42C,28939,117090,154749,186805,193089
