date,bag,sample,width.mm,length.mm,notes
20240808,56,34,17.642,26.499,
20240808,56,35,21.23,26.853,
20240808,56,36,18.423,27.392,
20240808,56,37,15.047,23.297,
20240808,56,38,20.431,27.489,
20240808,56,39,26.844,38.669,
20240808,56,40,15.548,28.86,
20240812,36,1,17.889,33.583,
20240812,36,2,12.648,23.967,
20240812,36,3,18.889,21.939,
20240812,36,4,15.792,21.77,
20240812,36,5,16.415,22.306,
20240812,36,6,13.438,17.73,
20240812,36,7,15.437,23.671,
20240812,36,8,16.883,24.465,
20240812,36,9,16.842,22.281,
20240812,36,10,15.815,24.485,
20240812,36,11,15.954,25.877,
20240812,36,12,15.499,20.226,
20240812,36,13,18.644,21.66,
20240812,36,14,15.969,24.677,
20240812,36,15,16.798,22.973,
20240812,36,16,18.45,30.849,
20240812,36,17,16.357,21.449,
20240812,36,18,17.613,23.891,
20240812,36,19,18.194,23.613,
20240812,36,20,17.89,22.87,
20240812,36,21,16.728,27.016,
20240812,36,22,21.012,23.663,
20240812,36,23,18.837,21.396,
20240812,36,24,17.601,26.427,
20240812,36,25,16.393,18.648,
20240812,36,26,16.376,31.137,
20240812,36,27,19.619,25.8,
20240812,36,28,16.138,21.737,
20240812,36,29,15.58,20.621,
20240812,36,30,17.27,23.924,
20240812,36,31,16.515,23.241,
20240812,36,32,13.216,22.374,
20240812,36,33,15.913,25.645,
20240812,36,34,21.9,22.175,
20240812,36,35,16.247,28.799,
20240812,36,36,20.876,31.938,
20240812,36,37,20.587,27.495,
20240812,36,38,17.899,22.474,
20240812,36,39,16.729,23.23,
20240812,36,40,20.598,25.854,
20240813,49,1,13.465,22.766,
20240813,49,2,13.244,21.029,
20240813,49,3,10.286,21.299,
20240813,49,4,15.449,23.469,
20240813,49,5,16.03,21.431,
20240813,49,6,13.669,21.844,
20240813,49,7,16.949,22.055,
20240813,49,8,16.885,23.185,
20240813,49,9,14.184,23.322,
20240813,49,10,13.995,25.091,
20240813,49,11,17.68,28.602,
20240813,49,12,19.324,21.846,
20240813,49,13,14.618,25.112,
20240813,49,14,18.679,20.882,
20240813,49,15,16.498,22.245,
20240813,49,16,12.574,22.079,
20240813,49,17,19.147,21.583,
20240813,49,18,16.632,21.767,
20240813,49,19,16.632,25.436,
20240813,49,20,17.099,23.859,
20240813,49,21,18.024,24.716,
20240813,49,22,16.813,26.191,
